WARD,REGISTERED VOTERS,BALLOTS CAST,RACE,CANDIDATE,VOTES
1,30837,4933,Appellate Court Judge (Vacancy of McNulty),Arnette R. Hubbard,357
1,30837,4933,Appellate Court Judge (Vacancy of McNulty),Ellen L. Flannigan,416
1,30837,4933,Appellate Court Judge (Vacancy of McNulty),James R. Epstein,1066
1,30837,4933,Appellate Court Judge (Vacancy of McNulty),Jim Ryan,757
1,30837,4933,Appellate Court Judge (Vacancy of McNulty),Kathleen G. Kennedy,1037
1,30837,4933,Appellate Court Judge (Vacancy of O'Malley),Aurelia Marie Pucinski,1231
1,30837,4933,Appellate Court Judge (Vacancy of O'Malley),Don R. Sampen,198
1,30837,4933,Appellate Court Judge (Vacancy of O'Malley),Frank Edward Gardner,227
1,30837,4933,Appellate Court Judge (Vacancy of O'Malley),Pamela E. Hill-Veal,548
1,30837,4933,Appellate Court Judge (Vacancy of O'Malley),Thomas L. Hogan,1343
1,30837,4933,Appellate Court Judge (Vacancy of South),Anthony Lynn Burrell,212
1,30837,4933,Appellate Court Judge (Vacancy of South),Kevin Rogers,352
1,30837,4933,Appellate Court Judge (Vacancy of South),Mary Katherine Rochford,1625
1,30837,4933,Appellate Court Judge (Vacancy of South),Sebastian T. Patti,643
1,30837,4933,Appellate Court Judge (Vacancy of South),William D. O'Neal,553
1,30837,4933,Circuit Court Judge (Vacancy of Berland),Deidre Baumann,1000
1,30837,4933,Circuit Court Judge (Vacancy of Berland),William Burnett Raines,814
1,30837,4933,Circuit Court Judge (Vacancy of Berland),William H. Hooks,1507
1,30837,4933,Circuit Court Judge (Vacancy of Bronstein),Diann K. Marsalek,707
1,30837,4933,Circuit Court Judge (Vacancy of Bronstein),Sharon Finegan Patterson,678
1,30837,4933,Circuit Court Judge (Vacancy of Bronstein),Terry MacCarthy,1324
1,30837,4933,Circuit Court Judge (Vacancy of Bronstein),Thomas William Flannigan,630
1,30837,4933,Circuit Court Judge (Vacancy of Dolan),Kevin J. Murphy,544
1,30837,4933,Circuit Court Judge (Vacancy of Dolan),Linda J. Pauel,1406
1,30837,4933,Circuit Court Judge (Vacancy of Dolan),Susan Kennedy Sullivan,1103
1,30837,4933,Circuit Court Judge (Vacancy of Dolan),Ubi O'Neal,303
1,30837,4933,Circuit Court Judge (Vacancy of Hayes),Bonnie Carol McGrath,1251
1,30837,4933,Circuit Court Judge (Vacancy of Hayes),Carl B. Boyd,428
1,30837,4933,Circuit Court Judge (Vacancy of Hayes),Raymond W. Mitchell,1609
1,30837,4933,Circuit Court Judge (Vacancy of Kelley),Joanne F. Fehn,1110
1,30837,4933,Circuit Court Judge (Vacancy of Kelley),"John Patrick Callahan, Jr.",2173
1,30837,4933,Circuit Court Judge (Vacancy of McCarthy),Daniel J. Gallagher,2942
1,30837,4933,Circuit Court Judge (Vacancy of O'Malley),Thomas V. Lyons,3006
1,30837,4933,Circuit Court Judge (Vacancy of Riley),Edmund Paul Michalowski,295
1,30837,4933,Circuit Court Judge (Vacancy of Riley),James Michael Bailey,218
1,30837,4933,Circuit Court Judge (Vacancy of Riley),John Patrick Nyhan,109
1,30837,4933,Circuit Court Judge (Vacancy of Riley),Marvin W. Gray,93
1,30837,4933,Circuit Court Judge (Vacancy of Riley),Russell William Hartigan,892
1,30837,4933,Circuit Court Judge (Vacancy of Riley),Sandra G. Ramos,1394
1,30837,4933,Circuit Court Judge (Vacancy of Riley),Tracey J. Stokes,394
2,38872,9049,Appellate Court Judge (Vacancy of McNulty),Arnette R. Hubbard,1968
2,38872,9049,Appellate Court Judge (Vacancy of McNulty),Ellen L. Flannigan,531
2,38872,9049,Appellate Court Judge (Vacancy of McNulty),James R. Epstein,1641
2,38872,9049,Appellate Court Judge (Vacancy of McNulty),Jim Ryan,1310
2,38872,9049,Appellate Court Judge (Vacancy of McNulty),Kathleen G. Kennedy,1657
2,38872,9049,Appellate Court Judge (Vacancy of O'Malley),Aurelia Marie Pucinski,1958
2,38872,9049,Appellate Court Judge (Vacancy of O'Malley),Don R. Sampen,287
2,38872,9049,Appellate Court Judge (Vacancy of O'Malley),Frank Edward Gardner,758
2,38872,9049,Appellate Court Judge (Vacancy of O'Malley),Pamela E. Hill-Veal,1736
2,38872,9049,Appellate Court Judge (Vacancy of O'Malley),Thomas L. Hogan,2206
2,38872,9049,Appellate Court Judge (Vacancy of South),Anthony Lynn Burrell,1026
2,38872,9049,Appellate Court Judge (Vacancy of South),Kevin Rogers,1039
2,38872,9049,Appellate Court Judge (Vacancy of South),Mary Katherine Rochford,2567
2,38872,9049,Appellate Court Judge (Vacancy of South),Sebastian T. Patti,808
2,38872,9049,Appellate Court Judge (Vacancy of South),William D. O'Neal,1210
