WARD,REGISTERED VOTERS,BALLOTS CAST,RACE,CANDIDATE,VOTES
1,33057,16733,Appellate Court Judge (Vacancy of Epstein),Eileen O'Neill Burke,10001
1,33057,16733,Appellate Court Judge (Vacancy of Quinn),Bertina E. Lampkin,9827
1,33057,16733,"Circuit Court Judge (Vacancy of Biebel, Jr.)","John Fitzgerald Lyke, Jr.",9643
1,33057,16733,Circuit Court Judge (Vacancy of Elrod),Rossana Patricia Fernandez,8344
1,33057,16733,Circuit Court Judge (Vacancy of Elrod),Scott Edward Lipinski,2402
1,33057,16733,Circuit Court Judge (Vacancy of Hogan),Alison C. Conlon,6975
1,33057,16733,Circuit Court Judge (Vacancy of Hogan),Michael I. O'Malley,3591
1,33057,16733,"Circuit Court Judge (Vacancy of Howlett, Jr.)",Aleksandra 'Alex' Gillespie,6523
1,33057,16733,"Circuit Court Judge (Vacancy of Howlett, Jr.)",Thomas Maloney Cushing,3708
1,33057,16733,Circuit Court Judge (Vacancy of Johnson),Bonnie Carol McGrath,1524
1,33057,16733,Circuit Court Judge (Vacancy of Johnson),Carolyn J. Gallagher,4121
1,33057,16733,Circuit Court Judge (Vacancy of Johnson),Gregory Raymond LaPapa,1361
1,33057,16733,Circuit Court Judge (Vacancy of Johnson),Mark A. Lyon,2328
1,33057,16733,Circuit Court Judge (Vacancy of Johnson),Sean S. Chaudhuri,1058
1,33057,16733,Circuit Court Judge (Vacancy of Karnezis),Brian J O'Hara,1872
1,33057,16733,Circuit Court Judge (Vacancy of Karnezis),Devlin J. Schoop,3211
1,33057,16733,Circuit Court Judge (Vacancy of Karnezis),Mary Kathleen McHugh,5128
1,33057,16733,Circuit Court Judge (Vacancy of Love),Brendan A. O'Brien,9314
1,33057,16733,Circuit Court Judge (Vacancy of O'Brien),Maureen O'Donoghue Hannon,9486
1,33057,16733,Circuit Court Judge (Vacancy of Palmer),Deidre Baumann,1397
1,33057,16733,Circuit Court Judge (Vacancy of Palmer),Pat Heneghan,3547
1,33057,16733,Circuit Court Judge (Vacancy of Palmer),Susana L. Ortiz,5716
1,33057,16733,Circuit Court Judge (Vacancy of Ruscitti Grussel),Daniel Patrick Duffy,2951
1,33057,16733,Circuit Court Judge (Vacancy of Ruscitti Grussel),Monica M. Torres-Linares,4799
1,33057,16733,Circuit Court Judge (Vacancy of Ruscitti Grussel),William S. Wojcik,1633
1,33057,16733,Circuit Court Judge (Vacancy of Walsh),Fredrick H. Bates,4882
1,33057,16733,Circuit Court Judge (Vacancy of Walsh),Patrick Joseph Powers,4968
1,33057,16733,"Judge, 6th Subcircuit (Additional Judgeship A)",Anna Loftus,5543
1,33057,16733,"Judge, 6th Subcircuit (Additional Judgeship A)",Carlos Claudio,3158
1,33057,16733,"Judge, 6th Subcircuit (Additional Judgeship A)",Edward J. Underhill,2108
1,33057,16733,"Judge, 6th Subcircuit (Vac of Gonzalez Santiago)",Richard C. Cooke,9294
1,33057,16733,"Judge, 6th Subcircuit (Vacancy of Ponce de Leon)",Eulalia 'Evie' De La Rosa,9647
2,35803,14281,Appellate Court Judge (Vacancy of Epstein),Eileen O'Neill Burke,8459
2,35803,14281,Appellate Court Judge (Vacancy of Quinn),Bertina E. Lampkin,8193
2,35803,14281,"Circuit Court Judge (Vacancy of Biebel, Jr.)","John Fitzgerald Lyke, Jr.",8082
2,35803,14281,Circuit Court Judge (Vacancy of Elrod),Rossana Patricia Fernandez,6236
2,35803,14281,Circuit Court Judge (Vacancy of Elrod),Scott Edward Lipinski,2513
2,35803,14281,Circuit Court Judge (Vacancy of Hogan),Alison C. Conlon,6021
2,35803,14281,Circuit Court Judge (Vacancy of Hogan),Michael I. O'Malley,2683
2,35803,14281,"Circuit Court Judge (Vacancy of Howlett, Jr.)",Aleksandra 'Alex' Gillespie,5001
2,35803,14281,"Circuit Court Judge (Vacancy of Howlett, Jr.)",Thomas Maloney Cushing,3463
2,35803,14281,Circuit Court Judge (Vacancy of Johnson),Bonnie Carol McGrath,1336
2,35803,14281,Circuit Court Judge (Vacancy of Johnson),Carolyn J. Gallagher,3153
2,35803,14281,Circuit Court Judge (Vacancy of Johnson),Gregory Raymond LaPapa,578
2,35803,14281,Circuit Court Judge (Vacancy of Johnson),Mark A. Lyon,2311
2,35803,14281,Circuit Court Judge (Vacancy of Johnson),Sean S. Chaudhuri,1099
2,35803,14281,Circuit Court Judge (Vacancy of Karnezis),Brian J O'Hara,1201
2,35803,14281,Circuit Court Judge (Vacancy of Karnezis),Devlin J. Schoop,2865
2,35803,14281,Circuit Court Judge (Vacancy of Karnezis),Mary Kathleen McHugh,4317
2,35803,14281,Circuit Court Judge (Vacancy of Love),Brendan A. O'Brien,7844
2,35803,14281,Circuit Court Judge (Vacancy of O'Brien),Maureen O'Donoghue Hannon,8008
2,35803,14281,Circuit Court Judge (Vacancy of Palmer),Deidre Baumann,1382
2,35803,14281,Circuit Court Judge (Vacancy of Palmer),Pat Heneghan,3707
2,35803,14281,Circuit Court Judge (Vacancy of Palmer),Susana L. Ortiz,3455
2,35803,14281,Circuit Court Judge (Vacancy of Ruscitti Grussel),Daniel Patrick Duffy,3285
2,35803,14281,Circuit Court Judge (Vacancy of Ruscitti Grussel),Monica M. Torres-Linares,2857
2,35803,14281,Circuit Court Judge (Vacancy of Ruscitti Grussel),William S. Wojcik,1377
2,35803,14281,Circuit Court Judge (Vacancy of Walsh),Fredrick H. Bates,3942
2,35803,14281,Circuit Court Judge (Vacancy of Walsh),Patrick Joseph Powers,4071
2,35803,14281,"Judge, 6th Subcircuit (Additional Judgeship A)",Anna Loftus,1827
2,35803,14281,"Judge, 6th Subcircuit (Additional Judgeship A)",Carlos Claudio,589
2,35803,14281,"Judge, 6th Subcircuit (Additional Judgeship A)",Edward J. Underhill,685
2,35803,14281,"Judge, 6th Subcircuit (Vac of Gonzalez Santiago)",Richard C. Cooke,2798
2,35803,14281,"Judge, 6th Subcircuit (Vacancy of Ponce de Leon)",Eulalia 'Evie' De La Rosa,2895
3,35148,17962,Appellate Court Judge (Vacancy of Epstein),Eileen O'Neill Burke,11361
3,35148,17962,Appellate Court Judge (Vacancy of Quinn),Bertina E. Lampkin,11370
3,35148,17962,"Circuit Court Judge (Vacancy of Biebel, Jr.)","John Fitzgerald Lyke, Jr.",11028
3,35148,17962,Circuit Court Judge (Vacancy of Elrod),Rossana Patricia Fernandez,8485
3,35148,17962,Circuit Court Judge (Vacancy of Elrod),Scott Edward Lipinski,3455
3,35148,17962,Circuit Court Judge (Vacancy of Hogan),Alison C. Conlon,7135
3,35148,17962,Circuit Court Judge (Vacancy of Hogan),Michael I. O'Malley,5014
3,35148,17962,"Circuit Court Judge (Vacancy of Howlett, Jr.)",Aleksandra 'Alex' Gillespie,7700
3,35148,17962,"Circuit Court Judge (Vacancy of Howlett, Jr.)",Thomas Maloney Cushing,4015
3,35148,17962,Circuit Court Judge (Vacancy of Johnson),Bonnie Carol McGrath,2337
3,35148,17962,Circuit Court Judge (Vacancy of Johnson),Carolyn J. Gallagher,4389
3,35148,17962,Circuit Court Judge (Vacancy of Johnson),Gregory Raymond LaPapa,1125
3,35148,17962,Circuit Court Judge (Vacancy of Johnson),Mark A. Lyon,2577
3,35148,17962,Circuit Court Judge (Vacancy of Johnson),Sean S. Chaudhuri,1482
3,35148,17962,Circuit Court Judge (Vacancy of Karnezis),Brian J O'Hara,1476
3,35148,17962,Circuit Court Judge (Vacancy of Karnezis),Devlin J. Schoop,4396
3,35148,17962,Circuit Court Judge (Vacancy of Karnezis),Mary Kathleen McHugh,5994
3,35148,17962,Circuit Court Judge (Vacancy of Love),Brendan A. O'Brien,10741
3,35148,17962,Circuit Court Judge (Vacancy of O'Brien),Maureen O'Donoghue Hannon,10892
3,35148,17962,Circuit Court Judge (Vacancy of Palmer),Deidre Baumann,2450
3,35148,17962,Circuit Court Judge (Vacancy of Palmer),Pat Heneghan,4247
3,35148,17962,Circuit Court Judge (Vacancy of Palmer),Susana L. Ortiz,5269
3,35148,17962,Circuit Court Judge (Vacancy of Ruscitti Grussel),Daniel Patrick Duffy,5525
3,35148,17962,Circuit Court Judge (Vacancy of Ruscitti Grussel),Monica M. Torres-Linares,4031
3,35148,17962,Circuit Court Judge (Vacancy of Ruscitti Grussel),William S. Wojcik,1200
3,35148,17962,Circuit Court Judge (Vacancy of Walsh),Fredrick H. Bates,6156
3,35148,17962,Circuit Court Judge (Vacancy of Walsh),Patrick Joseph Powers,5524
3,35148,17962,"Judge, 14th Subcircuit (Vacancy of Ruble Murphy)",Matthew Link,8
3,35148,17962,"Judge, 5th Subcircuit (Vacancy of Eadie-Daniels)",Jameika Mangum,3432
3,35148,17962,"Judge, 5th Subcircuit (Vacancy of Eadie-Daniels)",Leonard Murray,4041
3,35148,17962,"Judge, 5th Subcircuit (Vacancy of Stuart)",Freddrenna M. Lyle,6863
3,35148,17962,"Judge, 5th Subcircuit (Vacancy of Williams)",Daryl Jones,4632
3,35148,17962,"Judge, 5th Subcircuit (Vacancy of Williams)",Robin Denise Shoffner,2984
4,33177,19355,Appellate Court Judge (Vacancy of Epstein),Eileen O'Neill Burke,12533
4,33177,19355,Appellate Court Judge (Vacancy of Quinn),Bertina E. Lampkin,12805
4,33177,19355,"Circuit Court Judge (Vacancy of Biebel, Jr.)","John Fitzgerald Lyke, Jr.",12274
4,33177,19355,Circuit Court Judge (Vacancy of Elrod),Rossana Patricia Fernandez,9852
4,33177,19355,Circuit Court Judge (Vacancy of Elrod),Scott Edward Lipinski,3388
4,33177,19355,Circuit Court Judge (Vacancy of Hogan),Alison C. Conlon,8453
4,33177,19355,Circuit Court Judge (Vacancy of Hogan),Michael I. O'Malley,4926
4,33177,19355,"Circuit Court Judge (Vacancy of Howlett, Jr.)",Aleksandra 'Alex' Gillespie,8763
4,33177,19355,"Circuit Court Judge (Vacancy of Howlett, Jr.)",Thomas Maloney Cushing,4200
4,33177,19355,Circuit Court Judge (Vacancy of Johnson),Bonnie Carol McGrath,2607
4,33177,19355,Circuit Court Judge (Vacancy of Johnson),Carolyn J. Gallagher,4235
4,33177,19355,Circuit Court Judge (Vacancy of Johnson),Gregory Raymond LaPapa,1033
4,33177,19355,Circuit Court Judge (Vacancy of Johnson),Mark A. Lyon,2934
4,33177,19355,Circuit Court Judge (Vacancy of Johnson),Sean S. Chaudhuri,2395
4,33177,19355,Circuit Court Judge (Vacancy of Karnezis),Brian J O'Hara,1470
4,33177,19355,Circuit Court Judge (Vacancy of Karnezis),Devlin J. Schoop,5407
4,33177,19355,Circuit Court Judge (Vacancy of Karnezis),Mary Kathleen McHugh,6265
4,33177,19355,Circuit Court Judge (Vacancy of Love),Brendan A. O'Brien,11999
4,33177,19355,Circuit Court Judge (Vacancy of O'Brien),Maureen O'Donoghue Hannon,12113
