WARD,REGISTERED VOTERS,BALLOTS CAST,RACE,CANDIDATE,VOTES
1,28363,20955,Appellate Court Judge (Vacancy of Cahill),Mathias William Delort,14612
1,28363,20955,Appellate Court Judge (Vacancy of Gallagher),"P. Scott Neville, Jr.",13677
1,28363,20955,Appellate Court Judge (Vacancy of Johnson Coleman),"N. Roosevelt Howse, Jr.",14048
1,28363,20955,Appellate Court Judge (Vacancy of O'Brien),Jesse G. Reyes,14114
1,28363,20955,Appellate Court Judge (Vacancy of Theis),Maureen Elizabeth Connors,13727
1,28363,20955,Appellate Court Judge (Vacancy of Tully),Terrence J. Lavin,13338
1,28363,20955,Camille E. Willis,No,1926
1,28363,20955,Camille E. Willis,Yes,8375
1,28363,20955,Carl Anthony Walker,No,2072
1,28363,20955,Carl Anthony Walker,Yes,8155
1,28363,20955,Carol M. Howard,No,1876
1,28363,20955,Carol M. Howard,Yes,8443
1,28363,20955,Carole Kamin Bellows,No,2120
1,28363,20955,Carole Kamin Bellows,Yes,8959
1,28363,20955,Catherine Marie Haberkorn,No,2085
1,28363,20955,Catherine Marie Haberkorn,Yes,8237
1,28363,20955,Christopher Donnelly,No,3558
1,28363,20955,Christopher Donnelly,Yes,6992
1,28363,20955,Circuit Court Judge (Vacancy of Conlon),Karen Lynn O'Malley,13470
1,28363,20955,Circuit Court Judge (Vacancy of Jordan),Jean Prendergast Rooney,13092
1,28363,20955,Circuit Court Judge (Vacancy of Kirie Kinnaird),Erica L. Reddick,13105
1,28363,20955,Circuit Court Judge (Vacancy of Moran),Russell W. Hartigan,13005
1,28363,20955,"Circuit Court Judge (Vacancy of O'Brien, Jr.)",Cynthia Ramirez,13642
1,28363,20955,Circuit Court Judge (Vacancy of O'Mara Frossard),Diann Karen Marsalek,12706
1,28363,20955,Circuit Court Judge (Vacancy of Pucinski),Lorna Ellen Propes,12827
1,28363,20955,"Circuit Court Judge (Vacancy of Simmons, Jr.)",Jessica A. O'Brien,12962
1,28363,20955,Circuit Court Judge (Vacancy of Stewart),Pamela M. Leeming,12822
1,28363,20955,Circuit Court Judge (Vacancy of Stralka),Michael Tully Mullen,12876
1,28363,20955,Circuit Court Judge (Vacancy of Ward),Elizabeth Mary Hayes,11841
1,28363,20955,Colleen F. Sheehan,No,1945
1,28363,20955,Colleen F. Sheehan,Yes,8375
1,28363,20955,Cynthia Brim,No,4426
1,28363,20955,Cynthia Brim,Yes,6445
1,28363,20955,Daniel Patrick Brennan,No,2154
1,28363,20955,Daniel Patrick Brennan,Yes,8056
1,28363,20955,Diane M. Shelley,No,1756
1,28363,20955,Diane M. Shelley,Yes,8499
1,28363,20955,Drella C. Savage,No,2119
1,28363,20955,Drella C. Savage,Yes,8171
1,28363,20955,"E. Kenneth Wright, Jr.",No,2064
1,28363,20955,"E. Kenneth Wright, Jr.",Yes,8346
1,28363,20955,Ellen L. Flannigan,No,1979
1,28363,20955,Ellen L. Flannigan,Yes,8357
1,28363,20955,Garritt E. Howard,No,2152
1,28363,20955,Garritt E. Howard,Yes,8202
1,28363,20955,Gloria Chevere,No,4172
1,28363,20955,Gloria Chevere,Yes,6763
1,28363,20955,Grace G. Dickler,No,1977
1,28363,20955,Grace G. Dickler,Yes,8308
1,28363,20955,James D. Egan,No,3936
1,28363,20955,James D. Egan,Yes,6613
1,28363,20955,James Fitzgerald Smith,No,2142
1,28363,20955,James Fitzgerald Smith,Yes,9704
1,28363,20955,James M. Varga,No,2039
1,28363,20955,James M. Varga,Yes,8419
1,28363,20955,James Michael McGing,No,2207
1,28363,20955,James Michael McGing,Yes,7832
1,28363,20955,James Patrick Murphy,No,2039
1,28363,20955,James Patrick Murphy,Yes,8124
1,28363,20955,Jill C. Marisie,No,1895
1,28363,20955,Jill C. Marisie,Yes,8197
1,28363,20955,Joan Margaret O'Brien,No,1925
1,28363,20955,Joan Margaret O'Brien,Yes,8423
1,28363,20955,"Joseph G. Kazmierski, Jr.",No,2298
1,28363,20955,"Joseph G. Kazmierski, Jr.",Yes,8179
1,28363,20955,Joyce Marie Murphy Gorman,No,2449
1,28363,20955,Joyce Marie Murphy Gorman,Yes,7915
1,28363,20955,"Judge, 6th Subcircuit (Vacancy of Delgado)",Beatriz Santiago,12381
1,28363,20955,Kathy M. Flanagan,No,2600
1,28363,20955,Kathy M. Flanagan,Yes,8385
1,28363,20955,Lee Preston,No,2201
1,28363,20955,Lee Preston,Yes,8052
1,28363,20955,Lisa Ruble Murphy,No,3422
1,28363,20955,Lisa Ruble Murphy,Yes,7254
1,28363,20955,Loretta Eadie-Daniels,No,2881
1,28363,20955,Loretta Eadie-Daniels,Yes,7536
1,28363,20955,Marcia Maras,No,1843
1,28363,20955,Marcia Maras,Yes,8586
1,28363,20955,Martin S. Agran,No,2263
1,28363,20955,Martin S. Agran,Yes,8127
1,28363,20955,Marvin P. Luckman,No,2279
1,28363,20955,Marvin P. Luckman,Yes,8325
1,28363,20955,Mary Colleen Roberts,No,1859
1,28363,20955,Mary Colleen Roberts,Yes,8312
1,28363,20955,Mary Margaret Brosnahan,No,1978
1,28363,20955,Mary Margaret Brosnahan,Yes,8325
1,28363,20955,Marya Nega,No,1900
1,28363,20955,Marya Nega,Yes,8522
1,28363,20955,Matthew E. Coghlan,No,2215
1,28363,20955,Matthew E. Coghlan,Yes,7986
1,28363,20955,Maura Slattery Boyle,No,1986
1,28363,20955,Maura Slattery Boyle,Yes,8332
1,28363,20955,Maureen Elizabeth Connors,No,1861
1,28363,20955,Maureen Elizabeth Connors,Yes,8536
1,28363,20955,"Michael J. Howlett, Jr.",No,2123
1,28363,20955,"Michael J. Howlett, Jr.",Yes,8129
1,28363,20955,Mike McHale,No,2142
1,28363,20955,Mike McHale,Yes,7900
1,28363,20955,Moshe Jacobius,No,2371
1,28363,20955,Moshe Jacobius,Yes,8356
1,28363,20955,Orville E. Hambright,No,2217
1,28363,20955,Orville E. Hambright,Yes,7940
1,28363,20955,"P. Scott Neville, Jr.",No,2229
1,28363,20955,"P. Scott Neville, Jr.",Yes,7979
1,28363,20955,Pamela E. Hill-Veal,No,4367
1,28363,20955,Pamela E. Hill-Veal,Yes,6312
1,28363,20955,Patricia Banks,No,1948
1,28363,20955,Patricia Banks,Yes,8558
1,28363,20955,Patrick W. ''Pat'' O'Brien,No,2102
1,28363,20955,Patrick W. ''Pat'' O'Brien,Yes,8127
1,28363,20955,Paul A. Karkula,No,2230
1,28363,20955,Paul A. Karkula,Yes,7989
1,28363,20955,Pensions for Teachers,No,3750
1,28363,20955,Pensions for Teachers,Yes,14355
1,28363,20955,Peter Flynn,No,2235
1,28363,20955,Peter Flynn,Yes,8005
1,28363,20955,Political Contributions,No,3018
1,28363,20955,Political Contributions,Yes,14675
1,28363,20955,Ramon Ocasio III,No,1990
1,28363,20955,Ramon Ocasio III,Yes,8438
1,28363,20955,Raymond Funderburk,No,2384
1,28363,20955,Raymond Funderburk,Yes,8217
1,28363,20955,Richard F. Walsh,No,2265
1,28363,20955,Richard F. Walsh,Yes,8008
1,28363,20955,Robert Lopez Cepero,No,1968
1,28363,20955,Robert Lopez Cepero,Yes,8797
1,28363,20955,Rodney Hughes Brooks,No,3714
1,28363,20955,Rodney Hughes Brooks,Yes,6863
1,28363,20955,Ronald F. Bartkowicz,No,2364
1,28363,20955,Ronald F. Bartkowicz,Yes,8042
1,28363,20955,Stuart E. Palmer,No,2154
1,28363,20955,Stuart E. Palmer,Yes,8289
1,28363,20955,Stuart F. Lubin,No,2356
1,28363,20955,Stuart F. Lubin,Yes,8287
1,28363,20955,Supply of Electricity,No,6813
1,28363,20955,Supply of Electricity,Yes,10948
1,28363,20955,Supreme Court Judge (Vacancy of Fitzgerald),James Gerard Riley,2804
1,28363,20955,Supreme Court Judge (Vacancy of Fitzgerald),Mary Jane Theis,15102
1,28363,20955,Thomas David Roti,No,2200
1,28363,20955,Thomas David Roti,Yes,8017
1,28363,20955,Thomas W. Murphy,No,2061
1,28363,20955,Thomas W. Murphy,Yes,8034
1,28363,20955,W1 P11 School Board,No,38
1,28363,20955,W1 P11 School Board,Yes,255
1,28363,20955,W1 P23 School Board,No,47
1,28363,20955,W1 P23 School Board,Yes,297
1,28363,20955,W1 P33 School Board,No,49
1,28363,20955,W1 P33 School Board,Yes,346
1,28363,20955,W1 P45 School Board,No,31
1,28363,20955,W1 P45 School Board,Yes,245
1,28363,20955,W1 P6 School Board,No,37
1,28363,20955,W1 P6 School Board,Yes,207
1,28363,20955,W26 P15 School Board,No,18
1,28363,20955,W26 P15 School Board,Yes,140
1,28363,20955,W26 P40 School Board,No,17
1,28363,20955,W26 P40 School Board,Yes,115
1,28363,20955,W35 P10 School Board,No,47
1,28363,20955,W35 P10 School Board,Yes,348
1,28363,20955,W35 P12 School Board,No,22
1,28363,20955,W35 P12 School Board,Yes,122
1,28363,20955,W35 P29 School Board,No,7
1,28363,20955,W35 P29 School Board,Yes,33
1,28363,20955,W35 P30 School Board,No,6
1,28363,20955,W35 P30 School Board,Yes,21
1,28363,20955,W35 P31 School Board,No,33
1,28363,20955,W35 P31 School Board,Yes,203
1,28363,20955,W35 P36 School Board,No,35
1,28363,20955,W35 P36 School Board,Yes,277
2,32401,26782,Appellate Court Judge (Vacancy of Cahill),Mathias William Delort,16870
2,32401,26782,Appellate Court Judge (Vacancy of Gallagher),"P. Scott Neville, Jr.",16142
2,32401,26782,Appellate Court Judge (Vacancy of Johnson Coleman),"N. Roosevelt Howse, Jr.",16374
2,32401,26782,Appellate Court Judge (Vacancy of O'Brien),Jesse G. Reyes,16132
2,32401,26782,Appellate Court Judge (Vacancy of Theis),Maureen Elizabeth Connors,16261
2,32401,26782,Appellate Court Judge (Vacancy of Tully),Terrence J. Lavin,15739
2,32401,26782,Camille E. Willis,No,2162
2,32401,26782,Camille E. Willis,Yes,10532
