WARD,REGISTERED VOTERS,BALLOTS CAST,RACE,CANDIDATE,VOTES
1,27621,368,Circuit Court Judge (Vac. of Foreman),No Candidate,0
1,27621,368,Circuit Court Judge (Vac. of O'Malley),No Candidate,0
1,27621,368,Circuit Court Judge (Vac. of Orlando),No Candidate,0
1,27621,368,Circuit Court Judge (Vac. of Salyers),John Joseph Coyne,261
1,27621,368,Circuit Court Judge (Vac. of Siracusa),No Candidate,0
1,27621,368,Circuit Court Judge - 10th Subcircuit (Judgeship A),No Candidate,0
1,27621,368,Circuit Court Judge - 10th Subcircuit (Vac. of Fleming),No Candidate,0
2,27086,485,Circuit Court Judge (Vac. of Foreman),No Candidate,0
2,27086,485,Circuit Court Judge (Vac. of O'Malley),No Candidate,0
2,27086,485,Circuit Court Judge (Vac. of Orlando),No Candidate,0
2,27086,485,Circuit Court Judge (Vac. of Salyers),John Joseph Coyne,366
2,27086,485,Circuit Court Judge (Vac. of Siracusa),No Candidate,0
2,27086,485,Circuit Court Judge - 5th Subcircuit (Vac. of Cox),No Candidate,0
2,27086,485,Circuit Court Judge - 8th Subcircuit (Judgeship A),No Candidate,0
2,27086,485,Circuit Court Judge - 8th Subcircuit (Vac. of Gardner),No Candidate,0
3,21429,151,Circuit Court Judge (Vac. of Foreman),No Candidate,0
3,21429,151,Circuit Court Judge (Vac. of O'Malley),No Candidate,0
3,21429,151,Circuit Court Judge (Vac. of Orlando),No Candidate,0
3,21429,151,Circuit Court Judge (Vac. of Salyers),John Joseph Coyne,83
3,21429,151,Circuit Court Judge (Vac. of Siracusa),No Candidate,0
3,21429,151,Circuit Court Judge - 5th Subcircuit (Vac. of Cox),No Candidate,0
3,21429,151,Circuit Court Judge - 8th Subcircuit (Judgeship A),No Candidate,0
3,21429,151,Circuit Court Judge - 8th Subcircuit (Vac. of Gardner),No Candidate,0
4,27084,188,Circuit Court Judge (Vac. of Foreman),No Candidate,0
4,27084,188,Circuit Court Judge (Vac. of O'Malley),No Candidate,0
4,27084,188,Circuit Court Judge (Vac. of Orlando),No Candidate,0
4,27084,188,Circuit Court Judge (Vac. of Salyers),John Joseph Coyne,137
4,27084,188,Circuit Court Judge (Vac. of Siracusa),No Candidate,0
4,27084,188,Circuit Court Judge - 5th Subcircuit (Vac. of Cox),No Candidate,0
5,27802,273,Circuit Court Judge (Vac. of Foreman),No Candidate,0
5,27802,273,Circuit Court Judge (Vac. of O'Malley),No Candidate,0
5,27802,273,Circuit Court Judge (Vac. of Orlando),No Candidate,0
5,27802,273,Circuit Court Judge (Vac. of Salyers),John Joseph Coyne,153
5,27802,273,Circuit Court Judge (Vac. of Siracusa),No Candidate,0
5,27802,273,Circuit Court Judge - 1st Subcircuit (Judgeship A),No Candidate,0
5,27802,273,Circuit Court Judge - 1st Subcircuit (Vac. of McGaughey),No Candidate,0
5,27802,273,Circuit Court Judge - 5th Subcircuit (Vac. of Cox),No Candidate,0
6,33625,98,Circuit Court Judge (Vac. of Foreman),No Candidate,0
6,33625,98,Circuit Court Judge (Vac. of O'Malley),No Candidate,0
6,33625,98,Circuit Court Judge (Vac. of Orlando),No Candidate,0
6,33625,98,Circuit Court Judge (Vac. of Salyers),John Joseph Coyne,44
6,33625,98,Circuit Court Judge (Vac. of Siracusa),No Candidate,0
6,33625,98,Circuit Court Judge - 1st Subcircuit (Judgeship A),No Candidate,0
6,33625,98,Circuit Court Judge - 1st Subcircuit (Vac. of McGaughey),No Candidate,0
6,33625,98,Circuit Court Judge - 5th Subcircuit (Vac. of Cox),No Candidate,0
7,30238,168,Circuit Court Judge (Vac. of Foreman),No Candidate,0
7,30238,168,Circuit Court Judge (Vac. of O'Malley),No Candidate,0
7,30238,168,Circuit Court Judge (Vac. of Orlando),No Candidate,0
7,30238,168,Circuit Court Judge (Vac. of Salyers),John Joseph Coyne,91
7,30238,168,Circuit Court Judge (Vac. of Siracusa),No Candidate,0
7,30238,168,Circuit Court Judge - 1st Subcircuit (Judgeship A),No Candidate,0
7,30238,168,Circuit Court Judge - 1st Subcircuit (Vac. of McGaughey),No Candidate,0
