WARD,REGISTERED VOTERS,BALLOTS CAST,RACE,CANDIDATE,VOTES
1,26893,929,Supreme Court Judge (Vacancy of Fitzgerald),James Gerard Riley,575
2,33810,1412,Supreme Court Judge (Vacancy of Fitzgerald),James Gerard Riley,913
3,19912,156,Supreme Court Judge (Vacancy of Fitzgerald),James Gerard Riley,92
4,24081,353,Supreme Court Judge (Vacancy of Fitzgerald),James Gerard Riley,181
5,23721,301,Supreme Court Judge (Vacancy of Fitzgerald),James Gerard Riley,148
6,32344,134,Supreme Court Judge (Vacancy of Fitzgerald),James Gerard Riley,49
7,27072,111,Supreme Court Judge (Vacancy of Fitzgerald),James Gerard Riley,70
8,32843,110,Supreme Court Judge (Vacancy of Fitzgerald),James Gerard Riley,57
9,28466,143,Supreme Court Judge (Vacancy of Fitzgerald),James Gerard Riley,55
10,24832,825,Supreme Court Judge (Vacancy of Fitzgerald),James Gerard Riley,528
11,24154,851,Supreme Court Judge (Vacancy of Fitzgerald),James Gerard Riley,557
12,13134,236,Supreme Court Judge (Vacancy of Fitzgerald),James Gerard Riley,154
13,20961,739,Supreme Court Judge (Vacancy of Fitzgerald),James Gerard Riley,520
14,14073,318,Supreme Court Judge (Vacancy of Fitzgerald),James Gerard Riley,220
15,21822,140,Supreme Court Judge (Vacancy of Fitzgerald),James Gerard Riley,93
16,19101,153,Supreme Court Judge (Vacancy of Fitzgerald),James Gerard Riley,92
17,27267,59,Supreme Court Judge (Vacancy of Fitzgerald),James Gerard Riley,24
18,33067,421,Supreme Court Judge (Vacancy of Fitzgerald),James Gerard Riley,269
19,32312,2682,Supreme Court Judge (Vacancy of Fitzgerald),James Gerard Riley,1844
20,19796,90,Supreme Court Judge (Vacancy of Fitzgerald),James Gerard Riley,48
21,35872,96,Supreme Court Judge (Vacancy of Fitzgerald),James Gerard Riley,50
22,14961,159,Supreme Court Judge (Vacancy of Fitzgerald),James Gerard Riley,93
23,27775,1583,Supreme Court Judge (Vacancy of Fitzgerald),James Gerard Riley,1092
24,26000,83,Supreme Court Judge (Vacancy of Fitzgerald),James Gerard Riley,41
25,21023,517,Supreme Court Judge (Vacancy of Fitzgerald),James Gerard Riley,309
26,22029,540,Supreme Court Judge (Vacancy of Fitzgerald),James Gerard Riley,327
27,25920,671,Supreme Court Judge (Vacancy of Fitzgerald),James Gerard Riley,438
28,25038,76,Supreme Court Judge (Vacancy of Fitzgerald),James Gerard Riley,50
29,25261,191,Supreme Court Judge (Vacancy of Fitzgerald),James Gerard Riley,113
30,19794,557,Supreme Court Judge (Vacancy of Fitzgerald),James Gerard Riley,343
31,20085,454,Supreme Court Judge (Vacancy of Fitzgerald),James Gerard Riley,283
32,31275,1998,Supreme Court Judge (Vacancy of Fitzgerald),James Gerard Riley,1283
33,18999,712,Supreme Court Judge (Vacancy of Fitzgerald),James Gerard Riley,470
34,34746,82,Supreme Court Judge (Vacancy of Fitzgerald),James Gerard Riley,47
35,21860,718,Supreme Court Judge (Vacancy of Fitzgerald),James Gerard Riley,427
36,28959,1728,Supreme Court Judge (Vacancy of Fitzgerald),James Gerard Riley,1143
37,25505,158,Supreme Court Judge (Vacancy of Fitzgerald),James Gerard Riley,79
38,27049,1685,Supreme Court Judge (Vacancy of Fitzgerald),James Gerard Riley,1158
39,23368,1379,Supreme Court Judge (Vacancy of Fitzgerald),James Gerard Riley,893
40,23438,1022,Supreme Court Judge (Vacancy of Fitzgerald),James Gerard Riley,627
41,35456,4262,Supreme Court Judge (Vacancy of Fitzgerald),James Gerard Riley,2831
42,38507,4743,Supreme Court Judge (Vacancy of Fitzgerald),James Gerard Riley,3059
43,29980,2889,Supreme Court Judge (Vacancy of Fitzgerald),James Gerard Riley,1835
44,28164,2148,Supreme Court Judge (Vacancy of Fitzgerald),James Gerard Riley,1332
45,30375,2299,Supreme Court Judge (Vacancy of Fitzgerald),James Gerard Riley,1562
46,26550,1578,Supreme Court Judge (Vacancy of Fitzgerald),James Gerard Riley,836
47,31128,1624,Supreme Court Judge (Vacancy of Fitzgerald),James Gerard Riley,1036
48,25304,1349,Supreme Court Judge (Vacancy of Fitzgerald),James Gerard Riley,755
49,20209,802,Supreme Court Judge (Vacancy of Fitzgerald),James Gerard Riley,483
50,24002,1630,Supreme Court Judge (Vacancy of Fitzgerald),James Gerard Riley,813
