WARD,REGISTERED VOTERS,BALLOTS CAST,RACE,CANDIDATE,VOTES
1,35398,14211,"Appellate Court Judge (Vacancy of Neville, Jr.)",Carolyn J. Gallagher,1356
1,35398,14211,"Appellate Court Judge (Vacancy of Neville, Jr.)",Maureen Patricia O'Leary,1416
1,35398,14211,"Appellate Court Judge (Vacancy of Neville, Jr.)",Michael B. Hyman,4655
1,35398,14211,"Appellate Court Judge (Vacancy of Neville, Jr.)",Sandra Gisela Ramos,3277
1,35398,14211,Appellate Court Judge (Vacancy of Simon),John Griffin,4229
1,35398,14211,Appellate Court Judge (Vacancy of Simon),Sharon O. Johnson,6040
1,35398,14211,Circuit Court Judge (Vacancy of Bellows),Cristin Keely McDonald Duffy,3361
1,35398,14211,Circuit Court Judge (Vacancy of Bellows),Kerrie Maloney Laytin,3462
1,35398,14211,Circuit Court Judge (Vacancy of Bellows),Tiesha L. Smith,3194
1,35398,14211,Circuit Court Judge (Vacancy of C. Sheehan),Deidre Baumann,2970
1,35398,14211,Circuit Court Judge (Vacancy of C. Sheehan),Maura McMahon Zeller,3195
1,35398,14211,Circuit Court Judge (Vacancy of C. Sheehan),Russell W. Hartigan,3365
1,35398,14211,Circuit Court Judge (Vacancy of Coghlan),Aileen Bhandari,3542
1,35398,14211,Circuit Court Judge (Vacancy of Coghlan),Elizabeth 'Beth' Ryan,1997
1,35398,14211,Circuit Court Judge (Vacancy of Coghlan),"James T. Derico, Jr.",1927
1,35398,14211,Circuit Court Judge (Vacancy of Coghlan),Kelly Marie McCarthy,2540
1,35398,14211,Circuit Court Judge (Vacancy of Ford),John O'Meara,1945
1,35398,14211,Circuit Court Judge (Vacancy of Ford),Laura Ayala-Gonzalez,7416
1,35398,14211,Circuit Court Judge (Vacancy of Ford),U. O'Neal,664
1,35398,14211,Circuit Court Judge (Vacancy of Funderburk),Celestia L. Mays,4805
1,35398,14211,Circuit Court Judge (Vacancy of Funderburk),Daniel L. Collins,940
1,35398,14211,Circuit Court Judge (Vacancy of Funderburk),Jacqueline Marie Griffin,2198
1,35398,14211,Circuit Court Judge (Vacancy of Funderburk),Mary Therese Quinn,1795
