WARD,REGISTERED VOTERS,BALLOTS CAST,RACE,CANDIDATE,VOTES
1,27903,11412,Alan J. Greiman,No,1116
1,27903,11412,Alan J. Greiman,Yes,4428
1,27903,11412,Amanda S. Toney,No,1859
1,27903,11412,Amanda S. Toney,Yes,3626
1,27903,11412,Anthony A. Iosco,No,1028
1,27903,11412,Anthony A. Iosco,Yes,4225
1,27903,11412,Apellate Court Judge First District (Hartigan),Michael James Murphy,8738
1,27903,11412,Apellate Court Judge First District (Hartman),Joy Virginia Cunningham,8547
1,27903,11412,Barbara J. Disko,No,1324
1,27903,11412,Barbara J. Disko,Yes,4214
1,27903,11412,Bill Taylor,No,1056
1,27903,11412,Bill Taylor,Yes,4229
1,27903,11412,Camille E. Willis,No,982
1,27903,11412,Camille E. Willis,Yes,4324
1,27903,11412,Carole Kamin Bellows,No,1013
1,27903,11412,Carole Kamin Bellows,Yes,4595
1,27903,11412,Catherine Marie Haberkorn,No,966
1,27903,11412,Catherine Marie Haberkorn,Yes,4352
1,27903,11412,Christopher Donnelly,No,1263
1,27903,11412,Christopher Donnelly,Yes,4060
1,27903,11412,Circuit Court Judge Full Circuit (Burr),Aurelia Marie Pucinski,8749
1,27903,11412,Circuit Court Judge Full Circuit (Jaffe),"Michael J. Howlett, Jr.",8485
1,27903,11412,Circuit Court Judge Full Circuit (Morrissey),Mike McHale,8370
1,27903,11412,Circuit Court Judge Full Circuit (Nudelman),James Patrick Murphy,8403
1,27903,11412,Circuit Court Judge Full Circuit (Schiller),Pamela E. Hill Veal,8095
1,27903,11412,Circuit Court Judge Full Circuit (Travis),Patrick W. 'Pat' O'Brien,8402
1,27903,11412,Claudia Grace Conlon,No,925
1,27903,11412,Claudia Grace Conlon,Yes,4491
1,27903,11412,Colleen F. Sheehan,No,939
1,27903,11412,Colleen F. Sheehan,Yes,4547
1,27903,11412,Colleen McSweeney Moore,No,1061
1,27903,11412,Colleen McSweeney Moore,Yes,4378
1,27903,11412,Cook Circuit Court Judge 10th Sub - (Golniewicz),James Michael McGing,3
1,27903,11412,Cook Circuit Court Judge 6th Sub - (Addl Judge),Gloria Chevere,8020
1,27903,11412,Cook Circuit Court Judge 6th Sub - (Jorzak),Ramon Ocasio III,8346
1,27903,11412,Cook Circuit Court Judge 7th Sub - (Addl Judge),Carol M. Howard,102
1,27903,11412,Countywide Advisory Referendum 1,No,1067
1,27903,11412,Countywide Advisory Referendum 1,Yes,8097
1,27903,11412,Countywide Advisory Referendum 2,No,1003
1,27903,11412,Countywide Advisory Referendum 2,Yes,8205
1,27903,11412,Countywide Advisory Referendum 3,No,2023
1,27903,11412,Countywide Advisory Referendum 3,Yes,7005
1,27903,11412,Cynthia Brim,No,1859
1,27903,11412,Cynthia Brim,Yes,3686
1,27903,11412,Daniel A. Riley,No,1095
1,27903,11412,Daniel A. Riley,Yes,4211
1,27903,11412,Donna Phelps Felton,No,1246
1,27903,11412,Donna Phelps Felton,Yes,4074
1,27903,11412,Drella C. Savage,No,1006
1,27903,11412,Drella C. Savage,Yes,4301
1,27903,11412,"E. Kenneth Wright, Jr.",No,1013
1,27903,11412,"E. Kenneth Wright, Jr.",Yes,4337
1,27903,11412,Edward P. O'Brien,No,1044
1,27903,11412,Edward P. O'Brien,Yes,4270
1,27903,11412,Edward R. Jordan,No,1040
1,27903,11412,Edward R. Jordan,Yes,4266
1,27903,11412,Francis Joseph Dolan,No,1009
1,27903,11412,Francis Joseph Dolan,Yes,4307
1,27903,11412,Garritt E. Howard,No,1174
1,27903,11412,Garritt E. Howard,Yes,4170
1,27903,11412,"Henry Richard Simmons, Jr.",No,1150
1,27903,11412,"Henry Richard Simmons, Jr.",Yes,4298
1,27903,11412,James D. Egan,No,1042
1,27903,11412,James D. Egan,Yes,4312
1,27903,11412,James F. Henry,No,1026
1,27903,11412,James F. Henry,Yes,4314
1,27903,11412,James M. Varga,No,982
1,27903,11412,James M. Varga,Yes,4445
1,27903,11412,James R. Epstein,No,1132
1,27903,11412,James R. Epstein,Yes,4166
1,27903,11412,Joan Margaret O'Brien,No,877
1,27903,11412,Joan Margaret O'Brien,Yes,4483
1,27903,11412,John Steele,No,1030
1,27903,11412,John Steele,Yes,4347
1,27903,11412,"Joseph G. Kazmierski, Jr.",No,1107
1,27903,11412,"Joseph G. Kazmierski, Jr.",Yes,4265
1,27903,11412,Joseph J. Urso,No,1113
1,27903,11412,Joseph J. Urso,Yes,4320
1,27903,11412,Joyce Marie Murphy Gorman,No,1069
1,27903,11412,Joyce Marie Murphy Gorman,Yes,4254
1,27903,11412,Kathy M. Flanagan,No,1123
1,27903,11412,Kathy M. Flanagan,Yes,4561
1,27903,11412,Lawrence 'Larry' Terrell,No,1327
1,27903,11412,Lawrence 'Larry' Terrell,Yes,3992
1,27903,11412,Lee Stuart Preston,No,1208
1,27903,11412,Lee Stuart Preston,Yes,4086
1,27903,11412,Leslie Elaine South,No,921
1,27903,11412,Leslie Elaine South,Yes,4671
1,27903,11412,Lisa Ruble Murphy,No,941
1,27903,11412,Lisa Ruble Murphy,Yes,4438
1,27903,11412,Lon William Shultz,No,1186
1,27903,11412,Lon William Shultz,Yes,4105
1,27903,11412,Loretta Eadie-Daniels,No,1223
1,27903,11412,Loretta Eadie-Daniels,Yes,4123
1,27903,11412,Marcella Carmen Lipinski,No,1784
1,27903,11412,Marcella Carmen Lipinski,Yes,3739
1,27903,11412,Marcia Maras,No,890
1,27903,11412,Marcia Maras,Yes,4532
1,27903,11412,Margaret O'Mara Frossard,No,960
1,27903,11412,Margaret O'Mara Frossard,Yes,4401
1,27903,11412,Marsha D. Hayes,No,1043
1,27903,11412,Marsha D. Hayes,Yes,4337
1,27903,11412,Martin S. Agran,No,1102
1,27903,11412,Martin S. Agran,Yes,4319
1,27903,11412,Marvin P. Luckman,No,1097
1,27903,11412,Marvin P. Luckman,Yes,4375
1,27903,11412,Mary Margaret Brosnahan,No,926
1,27903,11412,Mary Margaret Brosnahan,Yes,4361
1,27903,11412,Marya Nega,No,914
1,27903,11412,Marya Nega,Yes,4484
1,27903,11412,Matthew E. Coghlan,No,1049
1,27903,11412,Matthew E. Coghlan,Yes,4211
1,27903,11412,Maura Slattery Boyle,No,919
1,27903,11412,Maura Slattery Boyle,Yes,4451
1,27903,11412,Maureen Elizabeth Connors,No,889
1,27903,11412,Maureen Elizabeth Connors,Yes,4528
1,27903,11412,Michael T. Healy,No,1015
1,27903,11412,Michael T. Healy,Yes,4282
1,27903,11412,Moshe Jacobius,No,1124
1,27903,11412,Moshe Jacobius,Yes,4379
1,27903,11412,"P. Scott Neville, Jr.",No,1363
1,27903,11412,"P. Scott Neville, Jr.",Yes,3977
1,27903,11412,Patricia Banks,No,937
1,27903,11412,Patricia Banks,Yes,4571
1,27903,11412,Patrick J. Quinn,No,850
1,27903,11412,Patrick J. Quinn,Yes,5756
1,27903,11412,Paul A. Karkula,No,1060
