WARD,REGISTERED VOTERS,BALLOTS CAST,RACE,CANDIDATE,VOTES
1,35386,26616,Alexander Patrick White,No,3160
1,35386,26616,Alexander Patrick White,Yes,11430
1,35386,26616,Allen F. Murphy,No,2944
1,35386,26616,Allen F. Murphy,Yes,11047
1,35386,26616,Ann Finley Collins,No,2485
1,35386,26616,Ann Finley Collins,Yes,11525
1,35386,26616,Appellate Court Judge (Vac. of Epstein),Eileen O'Neill Burke,19165
1,35386,26616,Appellate Court Judge (Vac. of Quinn),Bertina E. Lampkin,18566
1,35386,26616,Arnette R. Hubbard,No,2746
1,35386,26616,Arnette R. Hubbard,Yes,11523
1,35386,26616,Bertina E. Lampkin,No,2922
1,35386,26616,Bertina E. Lampkin,Yes,11698
1,35386,26616,Bonita Coleman,No,3659
1,35386,26616,Bonita Coleman,Yes,10491
1,35386,26616,Charles Patrick Burns,No,3499
1,35386,26616,Charles Patrick Burns,Yes,10630
1,35386,26616,Cheyrl D. Ingram,No,2835
1,35386,26616,Cheyrl D. Ingram,Yes,11654
1,35386,26616,"Circuit Court Judge (Vac. of Biebel, Jr.)",John Fitzgerald Lyke Jr.,18366
1,35386,26616,Circuit Court Judge (Vac. of Elrod),Rossana P. Fernandez,18479
1,35386,26616,Circuit Court Judge (Vac. of Hogan),Alison C. Conlon,18088
1,35386,26616,"Circuit Court Judge (Vac. of Howlett, Jr.)",Aleksandra Gillespie,17899
1,35386,26616,Circuit Court Judge (Vac. of Johnson),Carolyn J. Gallagher,17831
1,35386,26616,Circuit Court Judge (Vac. of Karnezis),Mary Kathleen McHugh,17710
1,35386,26616,Circuit Court Judge (Vac. of Love),Brendan A. O'Brien,17449
1,35386,26616,Circuit Court Judge (Vac. of O'Brien),Maureen ODonoghue Hannon,17700
1,35386,26616,Circuit Court Judge (Vac. of Palmer),Susana L. Ortiz,18124
1,35386,26616,Circuit Court Judge (Vac. of Ruscitti Grussel),Daniel Patrick Duffy,17066
1,35386,26616,Circuit Court Judge (Vac. of Walsh),Patrick Joseph Powers,17612
1,35386,26616,Clare Elizabeth McWilliams,No,2451
1,35386,26616,Clare Elizabeth McWilliams,Yes,11586
1,35386,26616,Clerk-Recorder Office,No,7547
1,35386,26616,Clerk-Recorder Office,Yes,14076
1,35386,26616,Daniel J. Gallagher,No,3101
1,35386,26616,Daniel J. Gallagher,Yes,10799
1,35386,26616,Daniel James Pierce,No,2990
1,35386,26616,Daniel James Pierce,Yes,10899
1,35386,26616,Daniel Joseph Lynch,No,4767
1,35386,26616,Daniel Joseph Lynch,Yes,9455
1,35386,26616,Daniel Malone,No,3489
1,35386,26616,Daniel Malone,Yes,10476
1,35386,26616,Deborah Mary Dooling,No,2823
1,35386,26616,Deborah Mary Dooling,Yes,11779
1,35386,26616,Denise Kathleen Filan,No,2614
1,35386,26616,Denise Kathleen Filan,Yes,11492
1,35386,26616,Diane Joan Larsen,No,2798
1,35386,26616,Diane Joan Larsen,Yes,11369
1,35386,26616,Earned Sick Time,No,2437
1,35386,26616,Earned Sick Time,Yes,21855
1,35386,26616,"Edward ''Ed'' Washington, II",No,2927
1,35386,26616,"Edward ''Ed'' Washington, II",Yes,10967
1,35386,26616,Edward Harmening,No,2960
1,35386,26616,Edward Harmening,Yes,10926
1,35386,26616,Fully Fund CPS,No,2010
1,35386,26616,Fully Fund CPS,Yes,22029
1,35386,26616,Geary W. Kull,No,3098
1,35386,26616,Geary W. Kull,Yes,10726
1,35386,26616,Infrastructure Projects,No,2434
1,35386,26616,Infrastructure Projects,Yes,21667
1,35386,26616,Irwin J. Solganick,No,3752
1,35386,26616,Irwin J. Solganick,Yes,10810
1,35386,26616,James Patrick McCarthy,No,3142
1,35386,26616,James Patrick McCarthy,Yes,11118
1,35386,26616,Jeanne R. Cleveland Bernstein,No,3424
1,35386,26616,Jeanne R. Cleveland Bernstein,Yes,10650
1,35386,26616,Jim Ryan,No,3089
1,35386,26616,Jim Ryan,Yes,10874
1,35386,26616,John C. Griffin,No,2953
1,35386,26616,John C. Griffin,Yes,10916
1,35386,26616,"John D. Turner, Jr.",No,3183
1,35386,26616,"John D. Turner, Jr.",Yes,10871
1,35386,26616,"John P. Callahan, Jr.",No,2979
1,35386,26616,"John P. Callahan, Jr.",Yes,10829
1,35386,26616,John Patrick Kirby,No,2954
1,35386,26616,John Patrick Kirby,Yes,11083
1,35386,26616,Joy Virginia Cunningham,No,2639
1,35386,26616,Joy Virginia Cunningham,Yes,13160
1,35386,26616,"Judge, 6th Subcircuit (Additional Judgeship A)",Anna Loftus,16811
1,35386,26616,"Judge, 6th Subcircuit (Vac of Gonzalez Santiago)",Richard C. Cooke,16834
1,35386,26616,"Judge, 6th Subcircuit (Vac. of Ponce de Leon)",Eulalia De La Rosa,17161
1,35386,26616,Kathleen Marie Burke,No,2587
1,35386,26616,Kathleen Marie Burke,Yes,11554
1,35386,26616,Kathleen Mary Pantle,No,2597
1,35386,26616,Kathleen Mary Pantle,Yes,11529
1,35386,26616,Kay Marie Hanlon,No,2631
1,35386,26616,Kay Marie Hanlon,Yes,11413
1,35386,26616,Kevin Michael Sheehan,No,3054
1,35386,26616,Kevin Michael Sheehan,Yes,11006
1,35386,26616,Laurence J. Dunford,No,3685
1,35386,26616,Laurence J. Dunford,Yes,10242
1,35386,26616,"LeRoy K. Martin, Jr.",No,2811
1,35386,26616,"LeRoy K. Martin, Jr.",Yes,11319
1,35386,26616,Linzey D. Jones,No,2493
1,35386,26616,Linzey D. Jones,Yes,11480
1,35386,26616,Low-Cost Housing W01P01,No,138
1,35386,26616,Low-Cost Housing W01P01,Yes,379
1,35386,26616,Low-Cost Housing W01P16,No,130
1,35386,26616,Low-Cost Housing W01P16,Yes,379
1,35386,26616,Low-Cost Housing W01P19,No,133
1,35386,26616,Low-Cost Housing W01P19,Yes,535
1,35386,26616,Low-Cost Housing W01P23,No,146
1,35386,26616,Low-Cost Housing W01P23,Yes,611
1,35386,26616,Low-Cost Housing W01P30,No,160
1,35386,26616,Low-Cost Housing W01P30,Yes,466
1,35386,26616,Mary Lane Mikva,No,2516
1,35386,26616,Mary Lane Mikva,Yes,11661
1,35386,26616,More Charters W01P04,No,317
1,35386,26616,More Charters W01P04,Yes,273
