WARD,REGISTERED VOTERS,BALLOTS CAST,RACE,CANDIDATE,VOTES
1,28273,3030,Appellate Court Judge (Vac of Gordon),Freddrenna M. Lyle,466
1,28273,3030,Appellate Court Judge (Vac of Gordon),Shelly A. Harris,997
1,28273,3030,Appellate Court Judge (Vac of Gordon),Susan Kennedy Sullivan,784
1,28273,3030,Appellate Court Judge (Vac of Murphy),David Ellis,1889
1,28273,3030,Appellate Court Judge (Vac of Steele),John B. Simon,1294
1,28273,3030,Appellate Court Judge (Vac of Steele),Sharon Oden Johnson,867
1,28273,3030,"Judge, Cook County Circuit (Vac of Arnold)","Alfred M. Swanson, Jr.",610
1,28273,3030,"Judge, Cook County Circuit (Vac of Arnold)",Bridget Anne Mitchell,1548
1,28273,3030,"Judge, Cook County Circuit (Vac of Burke)",Maritza Martinez,1927
1,28273,3030,"Judge, Cook County Circuit (Vac of Connors)",Kristal Rivers,1378
1,28273,3030,"Judge, Cook County Circuit (Vac of Connors)",Peter J. Vilkelis,642
1,28273,3030,"Judge, Cook County Circuit (Vac of Egan)",Daniel J. Kubasiak,1746
1,28273,3030,"Judge, Cook County Circuit (Vac of Hill Veal)",Andrea Michele Buford,1075
1,28273,3030,"Judge, Cook County Circuit (Vac of Hill Veal)",James Patrick Crawley,611
1,28273,3030,"Judge, Cook County Circuit (Vac of Hill Veal)",Kelly Maloney Kachmarik,326
1,28273,3030,"Judge, Cook County Circuit (Vac of Howse, Jr.)",Caroline Kate Moreland,1738
1,28273,3030,"Judge, Cook County Circuit (Vac of Lowrance)",Thomas J. Carroll,1736
1,28273,3030,"Judge, Cook County Circuit (Vac of McDonald)",Cynthia Y. Cobbs,1110
1,28273,3030,"Judge, Cook County Circuit (Vac of McDonald)",Linda L. Mastandrea,825
1,28273,3030,"Judge, Cook County Circuit (Vac of Neville, Jr.)",Carolyn Joan Gallagher,540
1,28273,3030,"Judge, Cook County Circuit (Vac of Neville, Jr.)",Mary Alice Melchor,354
1,28273,3030,"Judge, Cook County Circuit (Vac of Neville, Jr.)",Patricia S. Spratt,527
