WARD,REGISTERED VOTERS,BALLOTS CAST,RACE,CANDIDATE,VOTES
1,33159,10237,"Judge, 6th Subcircuit (Vacancy of Chevere)",David C. Herrera,2095
1,33159,10237,"Judge, 6th Subcircuit (Vacancy of Chevere)",Kent Delgado,4397
1,33159,10237,"Judge, 6th Subcircuit (Vacancy of Chevere)",Sean Patrick Kelly,1061
1,33159,10237,"Judge, 6th Subcircuit (Vacancy of Cooke)",Andrea Michelle Webber,3828
1,33159,10237,"Judge, 6th Subcircuit (Vacancy of Cooke)",Charles 'Charlie' Beach,2342
1,33159,10237,"Judge, 6th Subcircuit (Vacancy of Cooke)",Edward J. Underhill,1419
1,33159,10237,"Judge, 6th Subcircuit (Vacancy of Lopez Cepero)",Linda Perez,3731
1,33159,10237,"Judge, 6th Subcircuit (Vacancy of Lopez Cepero)",Stephanie K. Miller,3975
1,33159,10237,"Judge, Cook County Circuit (Vac. of Prendergast)",Jack Hagerty,4464
1,33159,10237,"Judge, Cook County Circuit (Vac. of Prendergast)",Mable Taylor,2817
1,33159,10237,"Judge, Cook County Circuit (Vacancy of Brewer)",John Maher,1009
1,33159,10237,"Judge, Cook County Circuit (Vacancy of Brewer)",Kathryn Maloney Vahey,4139
1,33159,10237,"Judge, Cook County Circuit (Vacancy of Brewer)",Oran F. Whiting,2569
1,33159,10237,"Judge, Cook County Circuit (Vacancy of Clay)",Jonathan Clark Green,1259
1,33159,10237,"Judge, Cook County Circuit (Vacancy of Clay)",Kathaleen Theresa Lanahan,3902
1,33159,10237,"Judge, Cook County Circuit (Vacancy of Clay)",Lori Ann Roper,1338
1,33159,10237,"Judge, Cook County Circuit (Vacancy of Clay)",Michael I. O'Malley,1066
1,33159,10237,"Judge, Cook County Circuit (Vacancy of Dooling)",Corri Diane Fetman,2337
1,33159,10237,"Judge, Cook County Circuit (Vacancy of Dooling)",Timothy John Leeming,2728
1,33159,10237,"Judge, Cook County Circuit (Vacancy of Dooling)",Tom Sam Sianis,2354
1,33159,10237,"Judge, Cook County Circuit (Vacancy of Dunford)",Thomas F. McGuire,6376
1,33159,10237,"Judge, Cook County Circuit (Vacancy of Egan)",Rosa Maria Silva,7163
1,33159,10237,"Judge, Cook County Circuit (Vacancy of Flanagan)",Amanda Moira Pillsbury,1779
