WARD,REGISTERED VOTERS,BALLOTS CAST,RACE,CANDIDATE,VOTES
1,23841,386,JUDGE OF THE APPELLATE COURT (RAKOWSKI VACANCY),AURELIA MARIE PUCINSKI,257
2,26705,457,JUDGE OF THE APPELLATE COURT (RAKOWSKI VACANCY),AURELIA MARIE PUCINSKI,303
3,19796,90,JUDGE OF THE APPELLATE COURT (RAKOWSKI VACANCY),AURELIA MARIE PUCINSKI,48
4,27032,307,JUDGE OF THE APPELLATE COURT (RAKOWSKI VACANCY),AURELIA MARIE PUCINSKI,172
5,29198,374,JUDGE OF THE APPELLATE COURT (RAKOWSKI VACANCY),AURELIA MARIE PUCINSKI,187
6,36155,141,JUDGE OF THE APPELLATE COURT (RAKOWSKI VACANCY),AURELIA MARIE PUCINSKI,73
7,31340,165,JUDGE OF THE APPELLATE COURT (RAKOWSKI VACANCY),AURELIA MARIE PUCINSKI,104
8,37857,150,JUDGE OF THE APPELLATE COURT (RAKOWSKI VACANCY),AURELIA MARIE PUCINSKI,91
9,34441,153,JUDGE OF THE APPELLATE COURT (RAKOWSKI VACANCY),AURELIA MARIE PUCINSKI,82
10,26984,757,JUDGE OF THE APPELLATE COURT (RAKOWSKI VACANCY),AURELIA MARIE PUCINSKI,555
11,22524,484,JUDGE OF THE APPELLATE COURT (RAKOWSKI VACANCY),AURELIA MARIE PUCINSKI,342
12,13895,201,JUDGE OF THE APPELLATE COURT (RAKOWSKI VACANCY),AURELIA MARIE PUCINSKI,139
13,27426,829,JUDGE OF THE APPELLATE COURT (RAKOWSKI VACANCY),AURELIA MARIE PUCINSKI,622
14,18618,458,JUDGE OF THE APPELLATE COURT (RAKOWSKI VACANCY),AURELIA MARIE PUCINSKI,325
15,31248,183,JUDGE OF THE APPELLATE COURT (RAKOWSKI VACANCY),AURELIA MARIE PUCINSKI,127
16,22596,123,JUDGE OF THE APPELLATE COURT (RAKOWSKI VACANCY),AURELIA MARIE PUCINSKI,72
17,29063,151,JUDGE OF THE APPELLATE COURT (RAKOWSKI VACANCY),AURELIA MARIE PUCINSKI,74
18,35813,305,JUDGE OF THE APPELLATE COURT (RAKOWSKI VACANCY),AURELIA MARIE PUCINSKI,210
19,35451,1473,JUDGE OF THE APPELLATE COURT (RAKOWSKI VACANCY),AURELIA MARIE PUCINSKI,1056
20,25984,108,JUDGE OF THE APPELLATE COURT (RAKOWSKI VACANCY),AURELIA MARIE PUCINSKI,56
21,39293,149,JUDGE OF THE APPELLATE COURT (RAKOWSKI VACANCY),AURELIA MARIE PUCINSKI,85
22,18136,123,JUDGE OF THE APPELLATE COURT (RAKOWSKI VACANCY),AURELIA MARIE PUCINSKI,82
23,31735,1197,JUDGE OF THE APPELLATE COURT (RAKOWSKI VACANCY),AURELIA MARIE PUCINSKI,923
24,31582,125,JUDGE OF THE APPELLATE COURT (RAKOWSKI VACANCY),AURELIA MARIE PUCINSKI,55
25,16976,303,JUDGE OF THE APPELLATE COURT (RAKOWSKI VACANCY),AURELIA MARIE PUCINSKI,185
26,21299,405,JUDGE OF THE APPELLATE COURT (RAKOWSKI VACANCY),AURELIA MARIE PUCINSKI,254
26,21299,405,JUDGE OF THE CIRCUIT COURT - 10TH (ADDTL A),JANICE L. BERMAN,5
27,32034,706,JUDGE OF THE APPELLATE COURT (RAKOWSKI VACANCY),AURELIA MARIE PUCINSKI,485
28,28876,97,JUDGE OF THE APPELLATE COURT (RAKOWSKI VACANCY),AURELIA MARIE PUCINSKI,49
29,29803,226,JUDGE OF THE APPELLATE COURT (RAKOWSKI VACANCY),AURELIA MARIE PUCINSKI,148
29,29803,226,JUDGE OF THE CIRCUIT COURT - 11TH (ADDTL A),SAM LaBARBERA,53
30,23866,691,JUDGE OF THE APPELLATE COURT (RAKOWSKI VACANCY),AURELIA MARIE PUCINSKI,468
30,23866,691,JUDGE OF THE CIRCUIT COURT - 10TH (ADDTL A),JANICE L. BERMAN,159
30,23866,691,JUDGE OF THE CIRCUIT COURT - 11TH (ADDTL A),SAM LaBARBERA,185
31,20404,325,JUDGE OF THE APPELLATE COURT (RAKOWSKI VACANCY),AURELIA MARIE PUCINSKI,222
31,20404,325,JUDGE OF THE CIRCUIT COURT - 11TH (ADDTL A),SAM LaBARBERA,3
32,30475,1148,JUDGE OF THE APPELLATE COURT (RAKOWSKI VACANCY),AURELIA MARIE PUCINSKI,766
32,30475,1148,JUDGE OF THE CIRCUIT COURT - 10TH (ADDTL A),JANICE L. BERMAN,83
33,18996,635,JUDGE OF THE APPELLATE COURT (RAKOWSKI VACANCY),AURELIA MARIE PUCINSKI,409
33,18996,635,JUDGE OF THE CIRCUIT COURT - 10TH (ADDTL A),JANICE L. BERMAN,25
33,18996,635,JUDGE OF THE CIRCUIT COURT - 11TH (ADDTL A),SAM LaBARBERA,11
34,35786,138,JUDGE OF THE APPELLATE COURT (RAKOWSKI VACANCY),AURELIA MARIE PUCINSKI,82
35,20699,457,JUDGE OF THE APPELLATE COURT (RAKOWSKI VACANCY),AURELIA MARIE PUCINSKI,295
36,31212,1118,JUDGE OF THE APPELLATE COURT (RAKOWSKI VACANCY),AURELIA MARIE PUCINSKI,816
36,31212,1118,JUDGE OF THE CIRCUIT COURT - 11TH (ADDTL A),SAM LaBARBERA,814
37,31384,127,JUDGE OF THE APPELLATE COURT (RAKOWSKI VACANCY),AURELIA MARIE PUCINSKI,70
37,31384,127,JUDGE OF THE CIRCUIT COURT - 11TH (ADDTL A),SAM LaBARBERA,2
38,29534,1279,JUDGE OF THE APPELLATE COURT (RAKOWSKI VACANCY),AURELIA MARIE PUCINSKI,926
38,29534,1279,JUDGE OF THE CIRCUIT COURT - 10TH (ADDTL A),JANICE L. BERMAN,64
38,29534,1279,JUDGE OF THE CIRCUIT COURT - 11TH (ADDTL A),SAM LaBARBERA,816
39,23417,1067,JUDGE OF THE APPELLATE COURT (RAKOWSKI VACANCY),AURELIA MARIE PUCINSKI,735
39,23417,1067,JUDGE OF THE CIRCUIT COURT - 10TH (ADDTL A),JANICE L. BERMAN,626
40,21989,920,JUDGE OF THE APPELLATE COURT (RAKOWSKI VACANCY),AURELIA MARIE PUCINSKI,579
40,21989,920,JUDGE OF THE CIRCUIT COURT - 10TH (ADDTL A),JANICE L. BERMAN,248
41,34672,2743,JUDGE OF THE APPELLATE COURT (RAKOWSKI VACANCY),AURELIA MARIE PUCINSKI,2026
41,34672,2743,JUDGE OF THE CIRCUIT COURT - 10TH (ADDTL A),JANICE L. BERMAN,1725
41,34672,2743,JUDGE OF THE CIRCUIT COURT - 11TH (ADDTL A),SAM LaBARBERA,144
42,37045,3036,JUDGE OF THE APPELLATE COURT (RAKOWSKI VACANCY),AURELIA MARIE PUCINSKI,2055
43,31738,1967,JUDGE OF THE APPELLATE COURT (RAKOWSKI VACANCY),AURELIA MARIE PUCINSKI,1331
44,31327,1651,JUDGE OF THE APPELLATE COURT (RAKOWSKI VACANCY),AURELIA MARIE PUCINSKI,1100
45,31680,1543,JUDGE OF THE APPELLATE COURT (RAKOWSKI VACANCY),AURELIA MARIE PUCINSKI,1105
45,31680,1543,JUDGE OF THE CIRCUIT COURT - 10TH (ADDTL A),JANICE L. BERMAN,979
46,25424,1141,JUDGE OF THE APPELLATE COURT (RAKOWSKI VACANCY),AURELIA MARIE PUCINSKI,721
46,25424,1141,JUDGE OF THE CIRCUIT COURT - 10TH (ADDTL A),JANICE L. BERMAN,4
47,25732,891,JUDGE OF THE APPELLATE COURT (RAKOWSKI VACANCY),AURELIA MARIE PUCINSKI,566
47,25732,891,JUDGE OF THE CIRCUIT COURT - 10TH (ADDTL A),JANICE L. BERMAN,447
48,24852,1222,JUDGE OF THE APPELLATE COURT (RAKOWSKI VACANCY),AURELIA MARIE PUCINSKI,763
49,18550,617,JUDGE OF THE APPELLATE COURT (RAKOWSKI VACANCY),AURELIA MARIE PUCINSKI,397
50,23395,883,JUDGE OF THE APPELLATE COURT (RAKOWSKI VACANCY),AURELIA MARIE PUCINSKI,570
50,23395,883,JUDGE OF THE CIRCUIT COURT - 10TH (ADDTL A),JANICE L. BERMAN,51
