WARD,REGISTERED VOTERS,BALLOTS CAST,RACE,CANDIDATE,VOTES
1,38017,30731,Abbey Fishman Romanek,No,2839
1,38017,30731,Abbey Fishman Romanek,Yes,17794
1,38017,30731,Andrea M. Buford,No,2683
1,38017,30731,Andrea M. Buford,Yes,17950
1,38017,30731,Anjana Hansen,No,3801
1,38017,30731,Anjana Hansen,Yes,16603
1,38017,30731,Ann Collins-Dole,No,2789
1,38017,30731,Ann Collins-Dole,Yes,17806
1,38017,30731,Anna Helen Demacopoulos,No,7004
1,38017,30731,Anna Helen Demacopoulos,Yes,14045
1,38017,30731,Anthony C. ''Tony'' Kyriakopoulos,No,5029
1,38017,30731,Anthony C. ''Tony'' Kyriakopoulos,Yes,15572
1,38017,30731,"Appellate Court Judge (Vacancy of Neville, Jr.)",Michael B. Hyman,22042
1,38017,30731,Appellate Court Judge (Vacancy of Simon),Sharon O. Johnson,21676
1,38017,30731,Aurelia Marie Pucinski,No,4793
1,38017,30731,Aurelia Marie Pucinski,Yes,17770
1,38017,30731,Bridget Anne Mitchell,No,2636
1,38017,30731,Bridget Anne Mitchell,Yes,17656
1,38017,30731,Broadband,No,2499
1,38017,30731,Broadband,Yes,25981
1,38017,30731,Caroline Kate Moreland,No,5180
1,38017,30731,Caroline Kate Moreland,Yes,15421
1,38017,30731,Casandra Lewis,No,4655
1,38017,30731,Casandra Lewis,Yes,16131
1,38017,30731,Chris Lawler,No,4340
1,38017,30731,Chris Lawler,Yes,16172
1,38017,30731,Circuit Court Judge (Vacancy of Bellows),Tiesha L. Smith,18644
1,38017,30731,Circuit Court Judge (Vacancy of C. Sheehan),Maura McMahon Zeller,18714
1,38017,30731,Circuit Court Judge (Vacancy of Coghlan),Kelly Marie McCarthy,20773
1,38017,30731,Circuit Court Judge (Vacancy of Ford),Laura Ayala-Gonzalez,21129
1,38017,30731,Circuit Court Judge (Vacancy of Funderburk),Celestia L. Mays,20573
1,38017,30731,Circuit Court Judge (Vacancy of K. Sheehan),Jill Rose Quinn,20161
1,38017,30731,Circuit Court Judge (Vacancy of Larsen),"Levander 'Van' Smith, Jr.",20345
1,38017,30731,Circuit Court Judge (Vacancy of Mason),Chris Stacey,20243
1,38017,30731,Circuit Court Judge (Vacancy of McCarthy),Teresa Molina,20631
1,38017,30731,Circuit Court Judge (Vacancy of Murphy Gorman),Sheree Desiree Henry,20122
1,38017,30731,Circuit Court Judge (Vacancy of O'Brien),Elizabeth Anne Walsh,20103
1,38017,30731,Circuit Court Judge (Vacancy of Patti),Lynn Weaver Boyle,20115
1,38017,30731,Circuit Court Judge (Vacancy of Roti),Lorraine Mary Murphy,19908
1,38017,30731,City Plan,No,2906
1,38017,30731,City Plan,Yes,25103
1,38017,30731,Cynthia Y. Cobbs,No,2800
1,38017,30731,Cynthia Y. Cobbs,Yes,17959
1,38017,30731,Daniel J. Kubasiak,No,8923
1,38017,30731,Daniel J. Kubasiak,Yes,12178
1,38017,30731,Debra B. Walker,No,2748
1,38017,30731,Debra B. Walker,Yes,17856
1,38017,30731,Diana L. Kenworthy,No,3042
1,38017,30731,Diana L. Kenworthy,Yes,17619
1,38017,30731,Diana Rosario,No,9899
1,38017,30731,Diana Rosario,Yes,11533
1,38017,30731,Dominique C. Ross,No,4322
1,38017,30731,Dominique C. Ross,Yes,16332
1,38017,30731,Donna L. Cooper,No,2690
1,38017,30731,Donna L. Cooper,Yes,17975
1,38017,30731,Edward A. Arce,No,4278
1,38017,30731,Edward A. Arce,Yes,16313
1,38017,30731,Firearms,No,5016
1,38017,30731,Firearms,Yes,23643
1,38017,30731,Gregory J. Wojkowski,No,4941
1,38017,30731,Gregory J. Wojkowski,Yes,15960
1,38017,30731,Jackie Marie Portman-Brown,No,12426
1,38017,30731,Jackie Marie Portman-Brown,Yes,9280
1,38017,30731,James N. O'Hara,No,4088
1,38017,30731,James N. O'Hara,Yes,16543
1,38017,30731,"James Patrick Flannery, Jr.",No,4613
1,38017,30731,"James Patrick Flannery, Jr.",Yes,16648
1,38017,30731,James Paul Pieczonka,No,6042
1,38017,30731,James Paul Pieczonka,Yes,14248
1,38017,30731,Janet Adams Brosnahan,No,4294
1,38017,30731,Janet Adams Brosnahan,Yes,16522
1,38017,30731,Joan E. Powell,No,4143
