WARD,REGISTERED VOTERS,BALLOTS CAST,RACE,CANDIDATE,VOTES
1,23841,6381,JUDGE OF THE APPELLATE COURT (BUCKLEY VACANCY),NEIL F. HARTIGAN,3383
1,23841,6381,JUDGE OF THE APPELLATE COURT (COUSINS VACANCY),DENISE MARGARET O'MALLEY,2267
1,23841,6381,JUDGE OF THE APPELLATE COURT (COUSINS VACANCY),EDWARD R. BURR,986
1,23841,6381,JUDGE OF THE APPELLATE COURT (COUSINS VACANCY),"ELLIOTT MUSE, JR.",514
1,23841,6381,JUDGE OF THE APPELLATE COURT (RAKOWSKI VACANCY),JAMES FITZGERALD SMITH,1423
1,23841,6381,JUDGE OF THE APPELLATE COURT (RAKOWSKI VACANCY),ROGER G. FEIN,718
1,23841,6381,JUDGE OF THE APPELLATE COURT (RAKOWSKI VACANCY),THOMAS H. FEGAN,648
1,23841,6381,JUDGE OF THE APPELLATE COURT (RAKOWSKI VACANCY),WILLIAM D. O'NEAL,801
1,23841,6381,JUDGE OF THE CIRCUIT COURT (BOLAN VACANCY),"JAMES C. MURRAY, JR.",1488
1,23841,6381,JUDGE OF THE CIRCUIT COURT (BOLAN VACANCY),NOREEN VALERIA LOVE,1968
1,23841,6381,JUDGE OF THE CIRCUIT COURT (DURKIN VACANCY),KERRY M. KENNEDY,1790
1,23841,6381,JUDGE OF THE CIRCUIT COURT (DURKIN VACANCY),PENELOPE MORRIS,1069
1,23841,6381,JUDGE OF THE CIRCUIT COURT (DURKIN VACANCY),WILLIAM B. RAINES,735
1,23841,6381,JUDGE OF THE CIRCUIT COURT (FITZGERALD VACANCY),DANIEL L. COLLINS,938
1,23841,6381,JUDGE OF THE CIRCUIT COURT (FITZGERALD VACANCY),EILEEN MARY BREWER,1676
1,23841,6381,JUDGE OF THE CIRCUIT COURT (FITZGERALD VACANCY),KENNETH JAMES CORTESI,1015
1,23841,6381,JUDGE OF THE CIRCUIT COURT (HETT VACANCY),LAURA MARIE SULLIVAN,1650
1,23841,6381,JUDGE OF THE CIRCUIT COURT (HETT VACANCY),MICHAEL R. CLANCY,655
1,23841,6381,JUDGE OF THE CIRCUIT COURT (HETT VACANCY),MOIRA SUSAN JOHNSON,744
