ward,Total Population,"Not Hispanic or Latino Origin, Whites","Not Hispanic or Latino Origin, Blacks","Not Hispanic or Latino Origin, Asians",Hispanic or Latino Origin,Aggregate household income in the past 12 months,Total households,mean household income,number of tracts,"Native Born, Male, Over 18","Naturalized U.S. Citizen, Male, Over 18","Native Born, female, Over 18","Naturalized U.S. Citizen, Female, Over 18"
4,41945,6221,31127,2625,1158,1114507971,17890,62296,19.52704564771308,11843,680,16384,650
33,52538,17384,1897,4806,27619,1147205607,17657,64970,12.133870424712004,10006,3927,10676,3415
49,49096,17948,14763,3133,11720,1037659301,19409,53461,10.69193856452751,11850,2605,13758,2627
37,45502,1134,29020,281,14489,518530637,12211,42463,11.643446671994466,10538,886,14261,857
OUT,1120,948,4,69,97,45624154,414,110146,0.21318234169605227,307,89,314,74
18,59993,5585,42942,406,10644,1200018686,19370,61952,11.408854883222663,16244,1510,22079,1228
31,61237,8808,2369,1188,48028,894856968,17117,52277,14.669862286512505,9996,3609,11541,3600
25,48287,8662,3788,6768,28417,873836809,17249,50657,15.21818730244855,9650,2923,8767,3564
8,49613,405,48357,161,398,1039404983,20600,50455,14.460816816799833,15254,186,21606,376
26,50299,11798,7336,721,29823,926594125,17010,54470,20.157749338754705,13152,1572,14904,2086
28,53528,1335,44739,162,7068,469275008,13025,36028,22.402369553177497,13632,610,18923,483
3,36741,3672,28983,1419,2373,-826611663,10135,-81558,24.353529699577475,10532,442,13765,432
47,58532,43184,1605,3086,9131,2525665211,27118,93134,20.993399179750394,19931,1961,20344,2703
1,54613,29123,3082,1890,19601,1948138835,22692,85850,19.150774941837994,18412,2046,16985,1958
38,59992,35386,1110,3238,19223,1465238522,21203,69102,15.681343938004739,13275,4339,14547,5380
11,57544,19402,1529,17786,17934,1176049278,21008,55980,20.152877833419428,12690,4819,12922,5101
30,51219,10863,2509,1083,36269,833611803,15428,54030,12.086163584550492,9500,2949,10299,3065
39,59546,23166,2287,10214,22343,1378488747,19294,71445,12.854436369379323,11116,5372,10923,5710
12,57471,4462,9735,1842,41245,541759839,12316,43987,12.802375281852504,14615,3172,6320,2698
9,46010,796,43137,43,1817,743103900,16058,46273,14.264850329304942,12894,168,18734,218
6,54150,267,52745,128,366,998593683,21599,46232,17.39213748325511,15954,167,23437,283
5,41018,6652,31554,1256,970,970018081,17635,55002,14.732471293064945,12204,468,16009,801
19,52123,35587,13262,170,2616,1472152027,16595,88709,14.715157888795611,18043,486,19245,469
41,62609,50546,492,3013,8203,1246058190,23070,54011,14.496148922151155,16932,4094,18075,4667
23,58956,27997,3229,939,26438,653854227,19588,33380,16.71675740833566,14102,3129,15097,3440
24,48284,982,43727,116,3107,456496439,12352,36954,19.556559316684016,13605,240,17648,224
46,46085,24786,8430,5187,6787,1434203201,21696,66103,10.075128706346591,15322,2697,13738,2733
44,55029,44442,1791,3437,4393,2810340775,27434,102439,20.851338809845238,21515,1277,22891,1612
36,59037,34685,2841,2326,18286,1442031021,20983,68722,13.025773199497856,13284,4596,14711,5440
48,43601,23399,7072,6222,5641,1281991544,19958,64234,11.676301181302161,13740,2940,12163,2955
27,52246,17307,23386,2042,8616,1611875720,20024,80494,17.427855201268454,17266,861,19148,1181
50,58080,26093,5566,13124,11529,1190099192,19585,60765,10.611759206306214,8867,5972,10749,6913
7,38234,557,34209,51,2971,559078067,12327,45352,10.821616746730935,10807,414,14955,375
15,46828,1492,31157,233,13537,513697153,12071,42556,14.65439769084561,10865,958,13913,1009
34,50830,821,48937,92,529,814780726,16056,50743,12.104564222509772,15834,141,20637,82
40,51036,25488,4524,8528,11106,1332306831,20673,64443,12.462029712143194,11024,4235,12351,4764
10,58321,10427,11965,91,35610,896582279,18267,49080,15.134087075838492,12038,2715,14669,2279
2,56360,21201,23624,6961,3240,2298880906,26740,85969,19.680877946957068,19076,1455,19983,1828
22,45480,1167,2428,0,41845,442988509,9815,45130,12.410513879342412,4892,2088,4408,2554
35,51671,16623,2963,2021,29134,1119221743,18882,59272,15.351630522433316,12891,2696,13638,2545
32,68832,52779,3603,3224,8081,3800126659,28968,131182,26.693170179717324,25938,1485,25099,2088
17,46498,312,45397,31,386,572080365,15012,38106,15.578976097533847,13356,96,18307,161
21,56162,367,54442,90,630,930093798,19285,48227,17.53600334096315,16831,207,23657,339
16,48294,1325,26809,100,19496,490569093,12964,37839,18.914632594502184,9826,1232,12285,1002
45,60265,38791,1075,4101,15299,1605023257,22931,69992,13.064945666418668,15526,4198,16471,4903
OUT,23162,19720,13,1289,1937,567416943,9412,60286,4.980502759092317,5305,2144,6037,2917
42,61572,46848,3339,7149,3043,5494299205,40131,136906,15.226974621503162,22373,2166,25203,2911
13,63507,16556,2610,380,43368,1010130264,17605,57374,13.346038408387379,11670,3617,12835,3381
14,59741,6292,657,1135,51377,745156617,15195,49037,14.017894154594458,7368,3880,7634,3947
OUT,493,333,45,16,92,11498576,208,55105,0.08819299621008504,169,17,176,13
43,49694,39992,3536,3204,2186,3569485754,25083,142301,15.134479409644898,17882,1115,20912,1570
29,55413,3699,36050,286,15159,808550761,17257,46851,11.32280057138767,14470,1279,18554,1074
20,44791,1784,35621,370,6560,384072612,11048,34761,19.520537211243294,11905,478,15365,445
