ward,Total Population,"Not Hispanic or Latino Origin, Whites","Not Hispanic or Latino Origin, Blacks","Not Hispanic or Latino Origin, Asians",Hispanic or Latino Origin,Aggregate household income in the past 12 months,Total households,mean household income,number of tracts,"Native Born, Male, Over 18","Naturalized U.S. Citizen, Male, Over 18","Native Born, female, Over 18","Naturalized U.S. Citizen, Female, Over 18"
12,59083,4991,6484,5164,42023,765541676,15103,50687,14.536302643545763,14616,3993,8727,3658
16,46155,934,26768,119,17994,616927069,15008,41106,21.3106809947584,12061,1298,13646,969
15,36463,1691,6910,978,26603,521980105,10396,50208,13.142528549221147,6489,1974,6903,1893
20,47462,2667,35421,931,7633,565396034,14684,38502,23.70914062970814,12320,635,17543,678
49,51477,21991,14199,2913,10312,1277172859,20583,62047,11.477843847010124,14694,2577,14424,2771
23,56550,15142,870,707,39526,681357183,17299,39385,13.754417935621023,12220,3536,12562,3641
29,57053,8146,34584,700,12944,1202542601,20196,59540,12.534681448699816,16745,1204,21335,1812
14,56963,6998,619,1671,47545,942349916,16034,58768,13.658790538613559,8858,4114,9763,3897
3,41772,6397,29718,3319,1400,576277518,15492,37196,23.276591938199758,12220,918,16576,1070
4,55101,15064,29854,5824,2480,2447280885,24132,101409,19.145554764756497,16164,1458,21130,1663
2,55207,39912,4045,4360,5556,4009578042,29092,137821,15.051236298969634,20048,1782,21857,2533
35,51820,13760,1882,3350,31792,1300148268,17922,72541,13.492152162844398,12051,3001,12302,3101
21,49233,386,47726,223,473,973486813,18082,53836,16.843307329122524,16435,244,22174,245
24,46291,1488,37501,127,6744,549240070,13730,40001,18.741694847261844,13668,389,17110,328
13,53830,13834,1234,274,38122,1138954516,16386,69507,11.122678040597352,12251,3579,12601,3459
48,46362,25889,6605,5954,6568,1853220566,23747,78037,12.29489135066981,14854,3048,14439,3415
31,52708,9568,1173,941,40149,1067757961,16489,64754,13.15916860091111,10704,3228,11095,3556
47,62130,47122,1358,3262,7928,3768531237,27398,137547,21.711883214748553,21553,1833,21946,2252
38,58390,36734,1101,3115,16571,1757921974,21102,83304,13.82104732544807,14037,5010,14771,5767
33,56040,21044,2316,5344,25796,1682510856,19919,84466,13.325430581827458,14144,3288,12942,3694
30,53634,13799,1168,1606,36311,1166859317,16677,69968,12.024032782188053,10415,3503,10911,3786
34,48857,1059,46026,55,744,939587133,15759,59621,13.410087700037542,16515,230,20201,272
28,58462,6603,41398,2975,6633,990579729,18214,54384,27.14116876388605,17010,820,20606,896
40,61118,30552,4726,9733,13392,2109004591,24387,86478,13.723136753705166,14979,4961,15684,5721
44,53689,43128,1536,3741,3701,3647929813,28434,128292,20.257987383591633,21192,1521,20754,1606
25,53117,14261,4435,8851,24747,1693960696,20971,80773,14.310677374939328,13855,3448,13897,3916
50,58638,25933,7444,12207,10441,1445443580,19371,74616,10.011210707846866,9781,6257,10595,6580
22,50870,2523,3073,251,44820,663767171,13802,48090,14.699215100600973,7405,2629,7616,3183
41,58902,45675,797,3032,7661,1796780001,24342,73812,13.598057305121177,16833,3309,17496,4633
18,59547,4971,31143,377,21830,1200461446,17248,69596,10.952484199279754,15605,2054,19285,1917
17,44872,890,35864,122,7044,681813322,15428,44191,13.279264225883624,13007,614,17088,575
6,47195,476,45000,41,1001,824487942,19163,43023,16.894339184742584,15691,138,20021,341
5,43590,9811,27697,2622,2140,1342910187,17995,74626,16.37613725089773,12846,775,18118,806
43,53285,42686,2269,4045,2682,4457342109,25864,172332,15.302680292699126,19972,1470,20931,1556
8,47878,695,46066,154,537,1001773916,18385,54487,15.84583297678407,15840,211,21456,247
42,65444,43621,2735,12890,4264,6529740765,39642,164714,10.802382330807575,23127,2369,22600,3452
7,39598,817,36090,52,2321,635115288,13457,47192,11.751155772337444,11576,567,16204,461
39,59760,32407,1506,9588,13969,2110048717,21873,96464,13.320095898464254,14104,5011,14579,5984
46,46518,25955,8624,3873,6339,1971737930,24825,79422,9.948805119418353,15908,2502,14719,2933
32,56943,41182,1833,3087,8910,4250248647,24035,176833,22.603001859427483,20741,1504,19394,1782
1,55760,31848,2839,2404,17118,2735702616,23067,118593,21.7644966441181,20007,1774,18612,2159
19,51636,33364,13154,586,3692,2117946685,18923,111922,14.57650629442048,18074,524,19534,699
9,50087,1113,46085,82,2184,909936606,16798,54167,18.047933683169294,15147,328,20506,402
36,52550,11827,1549,1847,36862,1089320106,15746,69177,11.055922971583366,10234,3469,11051,3899
37,52387,903,34445,209,16048,752500307,15544,48409,13.190107001199472,14076,806,18607,643
27,62869,23276,25195,3953,9044,2830695191,25822,109620,22.937585533909875,20540,1231,23407,1488
10,55012,8165,13115,110,33419,963819332,17293,55732,15.709954517130814,13086,2738,15019,2564
11,56467,18675,3089,20836,13046,1433930950,20870,68706,18.530853585274212,13571,4389,13899,5768
26,48293,12494,5390,936,28442,1194628809,17041,70100,17.223815808699133,12831,1765,13676,2015
45,58577,34594,788,4823,16653,2077827896,21864,95032,13.576075012939752,15638,4376,16193,5065
